id,street,city,state,zip
10001,26 Belden Avenue,Norwalk,CT,06850
10002,340 Main Ave,Norwalk,CT,06851
10003,726 Connecticut Ave,Norwalk,CT,06854
10004,RT-95 Northbound (Between Exit 12-13),Darien,CT,06820
10005,RT-95 Northbound (Between Exit 21-22),Fairfield,CT,06824
10006,RT-95 Southbound (Between Exit 22-21),Fairfield,CT,06430
10007,536 Post Rd,Fairfield,CT,06430
10008,1900 Fairfield Ave,Bridgeport,CT,06605
10009,1835 Black Rock Tpke,Fairfield,CT,06825
10010,1700 Park Ave,Bridgeport,CT,06604-2520
10011,2439 Barnum Ave,Stratford,CT,06614
10012,411 Barnum Ave,Stratford,CT,06615
10013,1111 Washington Blvd,Ogden,UT,84404-4950
10014,2085 S 1100 W,West Haven,UT,84401
10015,1838 W 2700 N,Farr West,UT,84404
10016,2605 N Washington,North Ogden,UT,84414
10017,212 Front St,Evanston,WY,82930-3632
10018,1666 Snowy Range Rd,Laramie,WY,82070
10019,3000 Grand Ave,Laramie,WY,82070-5105
10020,14449 W Center Rd,Omaha,NE,68144
10021,11330 W Dodge,Omaha,NE,68154-2620
10022,3805 N 132nd St,Omaha,NE,68164
10023,3404 N 108th St,Omaha,NE,68164-2907
10024,10777 Q St,Omaha,NE,68127-2931
10025,3575 North 168th Court,Omaha,NE,68116
10026,18320 Wright St,Omaha,NE,68130
10027,3606 S 84th,Omaha,NE,68124-3900
10028,17805 Welch Plaza,Omaha,NE,68135
10029,7717 W Dodge,Omaha,NE,68114-3636
10030,1525 N 205th St,Omaha,NE,68022
10031,4912 S 202nd Ave,Omaha,NE,68135
10032,122 S 40th St,Omaha,NE,68131-3004
10033,1925 N 72nd St.,Omaha,NE,68134
10034,3909 S 42nd,Omaha,NE,68107
10035,2410 Cuming St,Omaha,NE,68131-1630
10036,2760 S 13th St,Omaha,NE,68108
10037,4635 N 72nd St,Omaha,NE,68134
10038,4404 N 30th,Omaha,NE,68111
10039,9009 Old Military Ave,Omaha,NE,68134
10040,1607 W Broadway,Council Bluffs,IA,51501-3821
10041,610 30th Ave,Council Bluffs,IA,51501
10042,251 Bennett Ave,Council Bluffs,IA,51503
10043,1406 S Lincoln,Knoxville,IA,50138-3425
10044,703 A Ave W,Oskaloosa,IA,52577-2031
10045,311 S. Marion Avenue,Washington,IA,52353
10046,315 S Tenney St,Kewanee,IL,61443-3451
10047,115 N Lewis Ave,Oglesby,IL,61348-9772
10048,285 W Front St,Braidwood,IL,60408
10049,2 South Broadway,Coal City,IL,60416
10050,103 South Creek Dr,Manteno,IL,60950
10051,1055 S Water Street,Wilmington,IL,60481-1666
10052,1705 E Commercial,Lowell,IN,46356-2110
10053,3150 E 181st Place,Hebron,IN,46341
10054,338 N Halleck,Demotte,IN,46310-9419
10055,1411 S Heaton St,Knox,IN,46534-2315
10056,10450 State Hwy 10,Argos,IN,46501
10057,561 S Main,Churubusco,IN,46723
10058,3611 Commerce Dr,Warsaw,IN,46580-3929
10059,315 N Detroit St,Warsaw,IN,46580-3040
10060,2473 Jalynn St,Warsaw,IN,46582
10061,200 E High St,Hicksville,OH,43526
10062,1740 E 2nd St,Defiance,OH,43512-2446
10063,1111 N Clinton St,Defiance,OH,43512-9785
10064,1040 W Mcpherson Hwy,Clyde,OH,43410
10065,100 Mcdonald'S Dr,Bellevue,OH,44811-9633
10066,199 Milan Ave,Norwalk,OH,44857-1135
10067,249 Benedict Ave,Norwalk,OH,44857-2346
10068,265 S Main St,Oberlin,OH,44074-1772
10069,550 N Center St,Lagrange,OH,44050
10070,412 Main St,Grafton,OH,44044
10071,1733 Pearl Rd,Brunswick,OH,44212
10072,3115 Center Rd,Brunswick,OH,44212-3848
10073,14615 Pearl Rd,Strongsville,OH,44136-5011
10074,134 West Steetsboro Rd,Hudson,OH,44236-2746
10075,6400 Macedonia Commons Blvd,Macedonia,OH,44067
10076,5020 Darrow Rd,Stow,OH,44224-1408
10077,2533 Aurora Rd,Twinsburg,OH,44087-2147
10078,5304 Royalton Rd,North Royalton,OH,44133-4008
10079,9439 Sr 14,Streetsboro,OH,44240
10080,199 W Garfield,Aurora,OH,44202-8859
10081,3921 Wheatley Rd,Richfield,OH,44286
10082,4618 E Royalton Rd,Broadview Heights,OH,44147
10083,10637 Main St,Mantua,OH,44255
10084,8027 State St,Garrettsville,OH,44231
10085,2487 Parkman Rd,Warren,OH,44485
10086,4291 Mahoning Ave,Warren,OH,44483-1928
10087,595 South St Se,Warren,OH,44483
10088,2171 Millennium Blvd,Cortland,OH,44410
10089,145 N Hermitage Rd,Hermitage,PA,16148
10090,2066 E State St,Hermitage Twp,PA,16148
10091,162 North Rd,Warren,OH,44484-4502
10092,2110 Niles Courtland Rd,Warren,OH,44484
10093,3629 Oh-5,Cortland,OH,44410
10094,67 W State St,Sharon,PA,16146-1301
10095,707 Main Street,Clarion,PA,16214-1122
10096,864 Clark St,Brockway,PA,15824
10097,1940 Lycoming Creek Rd,Williamsport,PA,17701
10098,1730 E 3rd St,Williamsport,PA,17701
10099,180 Montgomery Rd,South Williamsport,PA,17702
10100,298 Lycoming Mall,Muncy,PA,17756
10101,755 State Hwy 405,Hughesville,PA,17737
10102,746 San Souci Hwy,Wilkes Barre,PA,18702
10103,80 S Wyoming Ave,Edwardsville,PA,18704
10104,150 East Hampton,Wilkes Barre,PA,18701
10105,674 N River St,Plains,PA,18705
10106,744 Kidder St,Wilkes Barre,PA,18702
10107,900 Wilkes Barre Township Blvd,Wilkes Barre,PA,18702
10108,500 Union Street Luzerne,Luzerne,PA,18709
10109,913 Wyoming Ave,Wyoming,PA,18644
10110,306 Rt 315,Pittston,PA,18640
10111,498 Red Apple Ct (Woodbury Common),Central Valley,NY,10917
10112,501 Rt 17m,Monroe,NY,10950
10113,20 Welcher Ave,Peekskill,NY,10566
10114,605 Bedford Rd,Bedford Hills,NY,10507
10115,3481 Us Highway 202,Cortlandt Manor,NY,10567
10116,3078 East Main Street,Mohegan Lake,NY,10547
10117,80 Hawley Lane,Trumbull,CT,06611
10118,439 Bridgeport Avenue,Milford,CT,06460-4105
10119,1376 Boston Post Rd,Milford,CT,06460
10120,250 N Ave,Bridgeport,CT,06606
10121,4219 Main St,Bridgeport,CT,06606
10122,390 Monroe Tpke,Monroe,CT,06468
10123,617 Boston Post Rd,Guilford,CT,06437
